editcount,gender,groups,name,registration,userid
12348,male,"[u'reviewer', u'*', u'user', u'autoconfirmed']",Madcoverboy,2005-06-21T13:52:16Z,304994
11778,unknown,"[u'checkuser', u'founder', u'oversight', u'sysop', u'*', u'user', u'autoconfirmed']",Jimbo Wales,2001-03-27T20:47:31Z,24
